idx,topic,question,expected,predicted,correct,latency_s,mem_tokens,control,target_tokens,stateless_verdict,flipped
49,Role of angel investors in seed stage,"What is the role of angel investors in the seed stage, and how can their involvement impact startup success and future funding rounds?",False,True,False,2.54,88,irrelevant_samelen,88,True,False
52,Evaluating founder potential and team dynamics,What key factors would you evaluate to assess founder potential and team dynamics in a seed-stage startup?,True,True,True,2.09,79,irrelevant_samelen,79,True,False
53,Evaluating founder potential and team dynamics,What key factors would you evaluate to assess founder potential and team dynamics in a seed-stage startup?,False,True,False,2.62,85,irrelevant_samelen,85,True,False
54,Impact of ESG criteria on startup evaluations,How does integrating ESG criteria influence a startup's evaluation in early funding rounds?,True,True,True,2.63,76,irrelevant_samelen,76,True,False
55,Impact of ESG criteria on startup evaluations,How does integrating ESG criteria influence a startup's evaluation in early funding rounds?,False,True,False,2.27,82,irrelevant_samelen,82,True,False
58,Valuation strategies for AI companies,How to assess valuation for an early-stage AI startup with nascent revenue?,True,True,True,2.44,79,irrelevant_samelen,79,True,False
59,Valuation strategies for AI companies,How to assess valuation for an early-stage AI startup with nascent revenue?,False,True,False,1.85,85,irrelevant_samelen,85,True,False
64,Understanding equity dilution in funding rounds,How does equity dilution affect founders post-series A in terms of control and future fundraising?,True,True,True,4.56,78,irrelevant_samelen,78,True,False
65,Understanding equity dilution in funding rounds,How does equity dilution affect founders post-series A in terms of control and future fundraising?,False,True,False,1.97,86,irrelevant_samelen,86,True,False
72,Analyzing churn rate in subscription-based models,What key metrics and strategies should a startup prioritize to effectively manage and reduce churn rate in a subscription-based business model?,True,True,True,3.2,80,irrelevant_samelen,80,True,False
73,Analyzing churn rate in subscription-based models,What key metrics and strategies should a startup prioritize to effectively manage and reduce churn rate in a subscription-based business model?,False,True,False,1.7,86,irrelevant_samelen,86,True,False
74,Pricing strategies for tech startups,How should an early-stage SaaS startup approach its initial pricing strategy to attract early adopters while ensuring sustainable unit economics?,True,True,True,1.99,78,irrelevant_samelen,78,True,False
75,Pricing strategies for tech startups,How should an early-stage SaaS startup approach its initial pricing strategy to attract early adopters while ensuring sustainable unit economics?,False,True,False,3.22,84,irrelevant_samelen,84,True,False
76,Impact of network effects on startup growth,How do strong network effects impact a startup's valuation and market position during early growth stages?,True,True,True,1.67,80,irrelevant_samelen,80,True,False
77,Impact of network effects on startup growth,How do strong network effects impact a startup's valuation and market position during early growth stages?,False,False,True,2.07,84,irrelevant_samelen,84,True,True
82,Importance of intellectual property in tech valuations,"How does intellectual property influence tech startup valuations, and what key factors should VCs consider?",True,True,True,2.35,81,irrelevant_samelen,81,True,False
83,Importance of intellectual property in tech valuations,"How does intellectual property influence tech startup valuations, and what key factors should VCs consider?",False,True,False,1.77,83,irrelevant_samelen,83,True,False
86,Customer acquisition cost optimization,What strategies would you implement to optimize CAC in an early-stage SaaS startup?,True,True,True,1.91,81,irrelevant_samelen,81,True,False
87,Customer acquisition cost optimization,What strategies would you implement to optimize CAC in an early-stage SaaS startup?,False,False,True,2.88,85,irrelevant_samelen,85,False,False
92,Effective board management in startups,What are the key elements of effective board management in startups?,True,True,True,2.87,80,irrelevant_samelen,80,True,False
93,Effective board management in startups,What are the key elements of effective board management in startups?,False,False,True,1.75,86,irrelevant_samelen,86,True,True
96,Analyzing exit trends in the tech industry,What are the key factors when evaluating tech startup exit trends over the past five years?,True,True,True,2.08,80,irrelevant_samelen,80,True,False
97,Analyzing exit trends in the tech industry,What are the key factors when evaluating tech startup exit trends over the past five years?,False,False,True,2.75,86,irrelevant_samelen,86,False,False
102,Navigating antitrust issues in tech mergers,What factors must be assessed to ensure a tech merger complies with antitrust regulations?,True,True,True,1.43,78,irrelevant_samelen,78,True,False
103,Navigating antitrust issues in tech mergers,What factors must be assessed to ensure a tech merger complies with antitrust regulations?,False,True,False,1.98,84,irrelevant_samelen,84,True,False
104,Financial projections for hardware startups,"What are the key financial projections metrics investors look for in hardware startups, and why are they crucial for investment decisions?",True,True,True,1.82,78,irrelevant_samelen,78,True,False
105,Financial projections for hardware startups,"What are the key financial projections metrics investors look for in hardware startups, and why are they crucial for investment decisions?",False,False,True,4.42,84,irrelevant_samelen,84,False,False
114,Syndication dynamics in venture capital,How do syndication dynamics influence valuation and deal terms in Series A rounds?,True,True,True,2.81,80,irrelevant_samelen,80,True,False
115,Syndication dynamics in venture capital,How do syndication dynamics influence valuation and deal terms in Series A rounds?,False,True,False,2.04,85,irrelevant_samelen,85,True,False
116,Real options analysis in startup investments,How would you apply real options analysis to evaluate a startup investment opportunity?,True,True,True,1.69,78,irrelevant_samelen,78,True,False
117,Real options analysis in startup investments,How would you apply real options analysis to evaluate a startup investment opportunity?,False,True,False,1.85,84,irrelevant_samelen,84,True,False
118,Measuring unit economics in SaaS businesses,What are the critical SaaS unit economics metrics to evaluate before investment?,True,True,True,2.78,80,irrelevant_samelen,80,True,False
119,Measuring unit economics in SaaS businesses,What are the critical SaaS unit economics metrics to evaluate before investment?,False,False,True,3.85,86,irrelevant_samelen,86,False,False
120,Assessing scale potential in platform businesses,How do you assess the scale potential of a platform business in its early stages?,True,True,True,2.8,81,irrelevant_samelen,81,True,False
121,Assessing scale potential in platform businesses,How do you assess the scale potential of a platform business in its early stages?,False,False,True,2.21,87,irrelevant_samelen,87,False,False
126,Impact of currency fluctuations on global startup evaluations,"How do currency fluctuations impact the valuation of startups with global operations, and what measures can they take to mitigate related risks?",True,True,True,8.31,76,irrelevant_samelen,76,True,False
127,Impact of currency fluctuations on global startup evaluations,"How do currency fluctuations impact the valuation of startups with global operations, and what measures can they take to mitigate related risks?",False,True,False,1.69,82,irrelevant_samelen,82,True,False
130,Understanding customer segmentation in tech startups,How should a tech startup approach customer segmentation to optimize growth and user acquisition?,True,True,True,1.58,78,irrelevant_samelen,78,True,False
131,Understanding customer segmentation in tech startups,How should a tech startup approach customer segmentation to optimize growth and user acquisition?,False,True,False,1.74,84,irrelevant_samelen,84,True,False
138,Convergence trends in telecom and tech,Evaluate a startup's strategy to leverage convergence in telecom and tech from a VC perspective.,True,True,True,3.34,80,irrelevant_samelen,80,True,False
139,Convergence trends in telecom and tech,Evaluate a startup's strategy to leverage convergence in telecom and tech from a VC perspective.,False,True,False,2.38,86,irrelevant_samelen,86,False,True
142,Use of special purpose acquisition companies (SPACs) in tech,Explain key considerations for a tech startup going public via a SPAC merger.,True,True,True,2.34,79,irrelevant_samelen,79,True,False
143,Use of special purpose acquisition companies (SPACs) in tech,Explain key considerations for a tech startup going public via a SPAC merger.,False,False,True,2.22,85,irrelevant_samelen,85,False,False
144,Effect of remote work trends on startup operations,How do remote work trends influence the valuation metrics for early-stage tech startups?,True,True,True,2.14,77,irrelevant_samelen,77,True,False
145,Effect of remote work trends on startup operations,How do remote work trends influence the valuation metrics for early-stage tech startups?,False,True,False,3.46,83,irrelevant_samelen,83,True,False
148,Key success metrics for D2C tech startups,What are the critical metrics to evaluate when assessing the viability and growth potential of a Direct-to-Consumer (D2C) tech startup?,True,False,False,2.94,80,irrelevant_samelen,80,False,False
149,Key success metrics for D2C tech startups,What are the critical metrics to evaluate when assessing the viability and growth potential of a Direct-to-Consumer (D2C) tech startup?,False,False,True,2.92,86,irrelevant_samelen,86,False,False
150,Valuation challenges for biotech startups,What are the key factors investors consider when valuing early-stage biotech startups?,True,True,True,2.15,78,irrelevant_samelen,78,True,False
151,Valuation challenges for biotech startups,What are the key factors investors consider when valuing early-stage biotech startups?,False,False,True,2.3,84,irrelevant_samelen,84,False,False
152,Impact of cybersecurity incidents on valuations,"How do cybersecurity incidents typically impact a startup's valuation during funding rounds, and what metrics should investors scrutinize closely post-incident?",True,True,True,1.56,79,irrelevant_samelen,79,True,False
153,Impact of cybersecurity incidents on valuations,"How do cybersecurity incidents typically impact a startup's valuation during funding rounds, and what metrics should investors scrutinize closely post-incident?",False,False,True,4.08,81,irrelevant_samelen,81,True,True
154,Importance of founder-market fit,"How does founder-market fit influence early-stage startup success, and what indicators show strong alignment in this area?",True,True,True,1.97,79,irrelevant_samelen,79,True,False
155,Importance of founder-market fit,"How does founder-market fit influence early-stage startup success, and what indicators show strong alignment in this area?",False,True,False,2.04,85,irrelevant_samelen,85,True,False
156,Platform dependency risks in SaaS businesses,How should SaaS startups evaluate and mitigate platform dependency risks?,True,True,True,1.76,78,irrelevant_samelen,78,True,False
157,Platform dependency risks in SaaS businesses,How should SaaS startups evaluate and mitigate platform dependency risks?,False,True,False,2.01,84,irrelevant_samelen,84,True,False
