idx,topic,question,expected,predicted,correct,latency_s,wrote_back
46,Identifying financial bubbles in tech,"What indicators suggest a financial bubble is forming in the tech sector, and how should a VC approach investing during such periods?",True,True,True,2.86,True
47,Identifying financial bubbles in tech,"What indicators suggest a financial bubble is forming in the tech sector, and how should a VC approach investing during such periods?",False,True,False,3.4,True
48,Role of angel investors in seed stage,"What is the role of angel investors in the seed stage, and how can their involvement impact startup success and future funding rounds?",True,True,True,2.85,True
49,Role of angel investors in seed stage,"What is the role of angel investors in the seed stage, and how can their involvement impact startup success and future funding rounds?",False,True,False,4.39,True
50,Differences between venture debt and equity funding,What are the key differences in terms of financial implications and control considerations between venture debt and equity funding for startups?,True,True,True,3.78,True
52,Evaluating founder potential and team dynamics,What key factors would you evaluate to assess founder potential and team dynamics in a seed-stage startup?,True,True,True,4.09,True
53,Evaluating founder potential and team dynamics,What key factors would you evaluate to assess founder potential and team dynamics in a seed-stage startup?,False,True,False,3.14,True
54,Impact of ESG criteria on startup evaluations,How does integrating ESG criteria influence a startup's evaluation in early funding rounds?,True,True,True,3.49,True
57,Blockchain and crypto startup valuation methods,What are the essential factors to evaluate when valuing a blockchain or crypto startup in a seed round?,False,False,True,19.27,True
58,Valuation strategies for AI companies,How to assess valuation for an early-stage AI startup with nascent revenue?,True,True,True,2.86,True
59,Valuation strategies for AI companies,How to assess valuation for an early-stage AI startup with nascent revenue?,False,True,False,3.2,True
61,Investment risk assessment in tech startups,Describe key factors to assess investment risk in a tech startup during due diligence.,False,False,True,15.72,True
62,Burn rate analysis for early-stage startups,How do you calculate the burn rate for an early-stage startup to ensure at least 18 months of runway?,True,True,True,2.96,True
63,Burn rate analysis for early-stage startups,How do you calculate the burn rate for an early-stage startup to ensure at least 18 months of runway?,False,True,False,2.89,True
70,Assessing competitive advantage in deep tech,What key factors should you evaluate when determining a startup's competitive advantage in deep tech?,True,True,True,3.59,True
71,Assessing competitive advantage in deep tech,What key factors should you evaluate when determining a startup's competitive advantage in deep tech?,False,False,True,14.51,True
72,Analyzing churn rate in subscription-based models,What key metrics and strategies should a startup prioritize to effectively manage and reduce churn rate in a subscription-based business model?,True,True,True,3.67,True
73,Analyzing churn rate in subscription-based models,What key metrics and strategies should a startup prioritize to effectively manage and reduce churn rate in a subscription-based business model?,False,True,False,3.86,True
74,Pricing strategies for tech startups,How should an early-stage SaaS startup approach its initial pricing strategy to attract early adopters while ensuring sustainable unit economics?,True,True,True,3.13,True
77,Impact of network effects on startup growth,How do strong network effects impact a startup's valuation and market position during early growth stages?,False,True,False,3.67,True
79,Economies of scale in tech business models,How does achieving economies of scale impact unit economics and valuation metrics in tech startups?,False,True,False,4.65,True
80,Regulatory impacts on AI and machine learning companies,What's the impact of regulatory changes on AI/ML startups' go-to-market strategies?,True,True,True,4.05,True
83,Importance of intellectual property in tech valuations,"How does intellectual property influence tech startup valuations, and what key factors should VCs consider?",False,True,False,3.48,True
87,Customer acquisition cost optimization,What strategies would you implement to optimize CAC in an early-stage SaaS startup?,False,False,True,16.3,True
88,Lifetime value calculation methods for startups,What are the main methods for calculating the lifetime value (LTV) in startups and how do they differ?,True,True,True,3.48,True
89,Lifetime value calculation methods for startups,What are the main methods for calculating the lifetime value (LTV) in startups and how do they differ?,False,False,True,20.03,True
91,Understanding exit multiples in tech IPOs,How do exit multiples impact valuation and investor returns in tech IPOs?,False,True,False,4.62,True
92,Effective board management in startups,What are the key elements of effective board management in startups?,True,True,True,4.0,True
93,Effective board management in startups,What are the key elements of effective board management in startups?,False,False,True,6.33,True
99,Forecasting market entry for tech innovations,How do you evaluate timing for a startup's market entry with an emerging tech innovation?,False,False,True,6.06,True
102,Navigating antitrust issues in tech mergers,What factors must be assessed to ensure a tech merger complies with antitrust regulations?,True,True,True,3.37,True
103,Navigating antitrust issues in tech mergers,What factors must be assessed to ensure a tech merger complies with antitrust regulations?,False,True,False,3.13,True
106,Impact of public market trends on startup exits,"How do recent public market trends influence startup exits, particularly in determining timing and valuations?",True,True,True,2.87,True
107,Impact of public market trends on startup exits,"How do recent public market trends influence startup exits, particularly in determining timing and valuations?",False,True,False,3.01,True
110,Valuation discrepancies in private vs public markets,"How do valuation methods differ between private and public markets, and what are the implications for investor decision-making?",True,True,True,2.83,True
113,Tech sector sensitivity to regulatory changes,"How do regulatory changes impact valuations in the tech sector, particularly for startups during early funding rounds?",False,True,False,3.57,True
116,Real options analysis in startup investments,How would you apply real options analysis to evaluate a startup investment opportunity?,True,True,True,3.99,True
117,Real options analysis in startup investments,How would you apply real options analysis to evaluate a startup investment opportunity?,False,True,False,14.79,True
118,Measuring unit economics in SaaS businesses,What are the critical SaaS unit economics metrics to evaluate before investment?,True,True,True,3.55,True
120,Assessing scale potential in platform businesses,How do you assess the scale potential of a platform business in its early stages?,True,True,True,4.91,True
121,Assessing scale potential in platform businesses,How do you assess the scale potential of a platform business in its early stages?,False,False,True,9.57,True
122,Evaluating pivot strategies in startups,What metrics are essential when evaluating a startup's pivot strategy effectiveness and sustainability?,True,True,True,2.98,True
124,Effect of globalization on tech startup growth,How does globalization impact a tech startup's growth strategy and what metrics should they focus on to leverage globalization effectively?,True,True,True,3.73,True
125,Effect of globalization on tech startup growth,How does globalization impact a tech startup's growth strategy and what metrics should they focus on to leverage globalization effectively?,False,True,False,3.62,True
129,Strategic partnership evaluations in tech,What factors should a tech startup consider when evaluating potential strategic partnerships?,False,False,True,9.23,True
130,Understanding customer segmentation in tech startups,How should a tech startup approach customer segmentation to optimize growth and user acquisition?,True,True,True,4.38,True
133,Seed round valuation impacts on series progression,How does seed round valuation influence future series raises and investor perceptions?,False,False,True,12.1,True
134,IPO valuation debacles in recent history,What were the main factors contributing to WeWork's IPO valuation collapse in 2019?,True,True,True,3.79,True
137,Importance of network security compliance,How should a startup approaching Series B evaluate its network security compliance to meet investor expectations?,False,True,False,4.5,True
140,Valuation implications of tech stack choices,How do tech stack choices affect a startup's valuation in a funding round?,True,True,True,3.13,True
144,Effect of remote work trends on startup operations,How do remote work trends influence the valuation metrics for early-stage tech startups?,True,True,True,4.25,True
145,Effect of remote work trends on startup operations,How do remote work trends influence the valuation metrics for early-stage tech startups?,False,True,False,2.55,True
148,Key success metrics for D2C tech startups,What are the critical metrics to evaluate when assessing the viability and growth potential of a Direct-to-Consumer (D2C) tech startup?,True,False,False,10.55,True
149,Key success metrics for D2C tech startups,What are the critical metrics to evaluate when assessing the viability and growth potential of a Direct-to-Consumer (D2C) tech startup?,False,False,True,6.48,True
150,Valuation challenges for biotech startups,What are the key factors investors consider when valuing early-stage biotech startups?,True,True,True,5.65,True
152,Impact of cybersecurity incidents on valuations,"How do cybersecurity incidents typically impact a startup's valuation during funding rounds, and what metrics should investors scrutinize closely post-incident?",True,True,True,3.09,True
153,Impact of cybersecurity incidents on valuations,"How do cybersecurity incidents typically impact a startup's valuation during funding rounds, and what metrics should investors scrutinize closely post-incident?",False,True,False,3.28,True
154,Importance of founder-market fit,"How does founder-market fit influence early-stage startup success, and what indicators show strong alignment in this area?",True,True,True,3.9,True
155,Importance of founder-market fit,"How does founder-market fit influence early-stage startup success, and what indicators show strong alignment in this area?",False,True,False,3.83,True
156,Platform dependency risks in SaaS businesses,How should SaaS startups evaluate and mitigate platform dependency risks?,True,True,True,3.15,True
157,Platform dependency risks in SaaS businesses,How should SaaS startups evaluate and mitigate platform dependency risks?,False,True,False,2.92,True
158,Raising capital through crowdfunding platforms,What are the key factors a startup should focus on when raising capital through crowdfunding platforms?,True,True,True,2.96,True
159,Raising capital through crowdfunding platforms,What are the key factors a startup should focus on when raising capital through crowdfunding platforms?,False,True,False,3.02,True
