idx,topic,expected,predicted,correct,reasoning,latency_s,retrieval_stats
19,Market timing for tech startups entering competitive spaces,False,True,False,"The response effectively addresses all key points outlined in the grading notes, including market signals such as demand peak and competitive saturation, pre-launch preparations like product development status and MVP readiness, and fundraising alignment with milestones. The mention of early revenue",3.38,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['semantic_patterns', 'multi_hop_issues_to_fixes']}"
84,Assessing market traction using KPIs,True,True,True,"The response thoroughly addresses all the points mentioned in the grading notes. It clearly outlines the key performance indicators (KPIs) that are essential for Series B funding, specifically mentioning ARR growth, active users, churn rate, NPS, LTV:CAC ratio, sales cycle, and expansion revenue. Ea",3.41,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_issues_to_fixes', 'multi_hop_semantic_to_issues']}"
15,Strategies for startup business model pivots,False,True,False,"The response comprehensively addresses the specified criteria from the grading notes, covering all relevant points such as identifying pivot drivers (market shift, user feedback), validating hypotheses, emphasizing customer development, aligning capabilities, assessing team adaptability, securing st",3.23,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['semantic_patterns', 'multi_hop_attempt_to_semantic']}"
66,Strategies for negotiating term sheets,True,True,True,"The response adequately addresses all the specified grading notes. It includes discussions on valuation caps, post-money valuation, liquidation preferences (1x+ common), types of anti-dilution protection (full vs. weighted), the number of board seats for investors (1-2), and the standard range for a",4.61,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_issues_to_fixes', 'semantic_patterns']}"
24,Data privacy compliance for health tech,True,True,True,"The response comprehensively covers all key points from the grading notes related to HIPAA and GDPR. It includes specific mentions of Protected Health Information (PHI), Business Associate Agreements (BAAs), the Security Rule, consent requirements, data access, rights to erasure, and DPO requirement",3.81,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_policy_to_attempts', 'semantic_patterns']}"
30,Due diligence checklists for early-stage investments,True,True,True,"The response successfully addresses all key points from the grading notes. It discusses the founders' track record, highlighting both their history of success and grit. It mentions the importance of market size, specifying the need for a $1BN+ potential and a growth rate over 10%. Additionally, it c",3.19,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['contrastive_attempts', 'semantic_patterns']}"
128,Strategic partnership evaluations in tech,True,True,True,"The response successfully incorporates all points from the grading notes, covering critical factors for evaluating strategic partnerships, including market alignment, competitive mapping, technology stack integration, revenue sharing models, IP rights, post-valuation effects, cultural fit, due dilig",2.34,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_semantic_to_issues', 'multi_hop_attempt_to_semantic']}"
147,Market saturation risks in mature tech markets,False,False,True,"The response fails to address key points from the grading notes. While it acknowledges high competition and low differentiation, it does not explicitly mention revenue growth plateau or decreasing QoQ. Additionally, it lacks discussion on the urgency of monitoring market entry barriers and the need ",5.96,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_issues_to_fixes', 'multi_hop_attempt_to_semantic']}"
98,Forecasting market entry for tech innovations,True,True,True,"The response adequately addresses all key points from the grading notes, covering first-mover advantage vs. fast-follower risk, market maturity, regulatory barriers, competitive landscape, TAM/SAM analysis, UI/UX readiness, MVP feedback, pilot results, early adopters' enthusiasm, and the necessity o",4.23,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['contrastive_attempts', 'contrastive_attempts']}"
16,Evaluating product-market fit in early-stage companies,True,True,True,"The response addresses all key points from the grading notes effectively. It highlights retention rates, customer feedback loops, target NPS, engagement of early adopters, awareness of pivots/red flags, tracking monthly active users (MAU), repeat purchase frequency and volume, and mentions competiti",3.17,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['similar_issues', 'contrastive_attempts']}"
75,Pricing strategies for tech startups,False,True,False,"The response effectively addresses all the points mentioned in the grading notes. It discusses competitive pricing and value-based pricing, it suggests NPS promotional trials to gather user feedback, measures LTV:CAC through segment testing, monitors churn rates, offers clarity in pricing tiers, and",2.82,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['contrastive_attempts', 'semantic_patterns']}"
18,Market timing for tech startups entering competitive spaces,True,True,True,"The response thoroughly addresses the grading notes by discussing key indicators for assessing market entry, including demand peaks, competitive saturation, and tech adoption curves. It also covers pre-launch preparations like product development status and MVP readiness, mentions potential network ",2.65,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['similar_issues', 'semantic_patterns']}"
12,Indicators of overvaluation in tech startups,True,True,True,"The response successfully addresses all key points from the grading notes, including revenue growth versus market norms, EV/Revenue ratios, post-money valuation comparisons, burn rate, LTV:CAC ratios specific to SaaS, lack of exit paths, and investor mix. Each point is thoroughly explained, showing ",2.32,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['semantic_patterns', 'semantic_patterns']}"
9,Understanding liquidation preferences in VC deals,False,True,False,"The response comprehensively addresses all points mentioned in the grading notes related to liquidation preferences. It discusses standard multiples, the differences between participating and non-participating preferences, the priority of preferred shares over common stock, the implications of anti-",4.07,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_semantic_to_issues', 'multi_hop_issues_to_fixes']}"
31,Due diligence checklists for early-stage investments,False,False,True,"The response does not explicitly address all the key points from the grading notes. While it mentions founders' track record and market potential, it fails to include specific references to the required metrics such as market size ($BN+ potential), growth rate (10%+), 18-month runway, and LTV:CAC ra",4.37,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_issues_to_fixes', 'multi_hop_attempt_to_semantic']}"
151,Valuation challenges for biotech startups,False,False,True,"The response adequately covers many of the grading notes, including pipeline robustness, tech differentiation, TAM size, milestones, and exit paths. However, it fails to address specifically the post-money valuation and regulatory hurdles, which are explicitly mentioned in the grading notes. The omi",3.02,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_issues_to_fixes', 'multi_hop_policy_to_attempts']}"
97,Analyzing exit trends in the tech industry,False,True,False,"The response thoroughly covers all points mentioned in the grading notes, including the percentage of exits via M&A versus IPO, average exit valuations, timeline trends from 2018 to 2023, top acquirers, the impact of market cycles, and overall exit multiples. Each aspect is addressed with relevant d",2.56,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['contrastive_attempts', 'semantic_patterns']}"
56,Blockchain and crypto startup valuation methods,True,True,True,"The response comprehensively addresses all the specified points from the grading notes, including detailed discussions on tokenomics, network effects, regulatory compliance, team expertise, market size estimation, use case viability, token utility, partnerships, and pre-money valuation comparisons. ",2.8,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['similar_issues', 'semantic_patterns']}"
131,Understanding customer segmentation in tech startups,False,True,False,"The output effectively addresses all criteria from the grading notes. It discusses achieving product-market fit first, identifying strategic verticals, and differentiating between B2B and B2C strategies. Additionally, it emphasizes the importance of KPI tracking and analyzing ROI, while also mention",3.3,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_semantic_to_issues', 'multi_hop_attempt_to_semantic']}"
104,Financial projections for hardware startups,True,True,True,"The output successfully addresses all key points from the grading notes, including revenue growth rate, gross margin expectations, alignment of burn rate with scaling, the importance of a clear breakeven point, plans for reducing COGS, and the impact of CapEx on cash flow. Each point is explained cl",2.9,"{'num_rollouts': 2, 'best_score': 0.0, 'retrieval_actions': ['multi_hop_issues_to_fixes', 'contrastive_attempts']}"
